Symbol,Date,Open,High,Low,Close,Volume
DSFP.IDX,06-Apr-2021,610.61,617.09,609.99,614.89,47980900
DSFT.IDX,06-Apr-2021,2457.99,2505.22,2457.86,2495.35,6491500
DSFV.IDX,06-Apr-2021,862.77,866.51,860.67,864.05,0
DSGF.IDX,06-Apr-2021,1693,1698.17,1687.39,1695.81,115347600
DSGI.IDX,06-Apr-2021,561.52,564.2,560.16,562.42,62334600
DSGT.IDX,06-Apr-2021,2380.36,2397.99,2380.23,2385.85,86398100
DSGU.IDX,06-Apr-2021,279.19,280.72,278.14,280.61,5086200
DSHB.IDX,06-Apr-2021,1497.4,1513.2,1485.66,1505.39,8762200
DSHC.IDX,06-Apr-2021,1298.54,1304.26,1291.95,1294.02,225447100
DSHD.IDX,06-Apr-2021,340.55,343.27,340.22,342.06,3878700
DSHG.IDX,06-Apr-2021,936.95,941.02,933.22,938.75,25399500
DSHI.IDX,06-Apr-2021,680.78,686.42,680.66,683.14,7916600
DSHL.IDX,06-Apr-2021,89.76,90.59,88.34,89.89,7639000
DSHN.IDX,06-Apr-2021,1084.4,1090.07,1079.03,1085.96,9852400
DSHP.IDX,06-Apr-2021,2677.5,2677.5,2643.62,2648.96,32994400
DSHR.IDX,06-Apr-2021,3466.31,3507.23,3437.31,3438.95,25447600
DSHV.IDX,06-Apr-2021,699.87,713.06,699.87,702.43,4274000
DSIB.IDX,06-Apr-2021,469.96,470.54,467.76,470.48,2998500
DSID.IDX,06-Apr-2021,597.93,600.8,595.8,596.63,45250800
DSIF.IDX,06-Apr-2021,48.81,49.08,48.38,48.74,6497800
DSIG.IDX,06-Apr-2021,1111.18,1114.71,1108.5,1109.91,257831600
DSIL.IDX,06-Apr-2021,866.84,874.8,863.86,868.96,14717500
DSIM.IDX,06-Apr-2021,338.32,344.19,333.97,335.96,32877600
DSIN.IDX,06-Apr-2021,1045.66,1049.58,1043.81,1045.1,286500100
DSIO.IDX,06-Apr-2021,118.05,119.02,117.82,118.95,27049200
DSIP.IDX,06-Apr-2021,997.78,1004.48,996.36,1001.28,19019600
DSIQ.IDX,06-Apr-2021,3012.2,3040.76,2992.12,2995.19,42533600
DSIR.IDX,06-Apr-2021,759.43,761.96,757.98,760.88,47741100
DSIS.IDX,06-Apr-2021,902.02,907.04,897.21,903.8,69818800
DSIT.IDX,06-Apr-2021,1593.79,1598.69,1584.07,1585.08,18471800
DSIU.IDX,06-Apr-2021,331.3,331.99,330.39,331.71,4507500
DSIV.IDX,06-Apr-2021,980.76,984.02,977.9,980,23218600
DSIX.IDX,06-Apr-2021,729.07,730.83,727.61,730.4,33023600
DSLE.IDX,06-Apr-2021,954.71,966.86,953.54,960.94,42123600
DSLG.IDX,06-Apr-2021,2511.53,2548.45,2511.53,2526.72,5911800
DSLW.IDX,06-Apr-2021,1484.23,1495.29,1483.73,1491.21,0
DSMC.IDX,06-Apr-2021,2128.31,2138.81,2120.35,2124.1,78133600
DSME.IDX,06-Apr-2021,1345.97,1368.65,1344.43,1363.78,249873600
DSMF.IDX,06-Apr-2021,8.51,8.6,8.5,8.57,24141700
DSMG.IDX,06-Apr-2021,128.4,130.36,128.4,129.14,6720000
DSMR.IDX,06-Apr-2021,44.26,44.42,44.13,44.27,21563600
DSMS.IDX,06-Apr-2021,1321.38,1333.06,1316.54,1318.55,5965100
DSMT.IDX,06-Apr-2021,201.45,204.91,199.87,202.37,283700
DSMU.IDX,06-Apr-2021,225.89,227.49,224.61,227.32,11477300
DSNC.IDX,06-Apr-2021,905.71,913.54,904.54,910.66,351717200
DSNF.IDX,06-Apr-2021,473.01,484.51,465.11,468.32,20739300
DSNG.IDX,06-Apr-2021,1003.06,1010.51,1001.23,1008.01,126375700
DSNS.IDX,06-Apr-2021,3164.09,3179.22,3151.85,3161.85,86513700
DSOG.IDX,06-Apr-2021,459.04,467.77,457.26,457.95,138693400
DSOI.IDX,06-Apr-2021,170.44,174.84,169.2,169.39,32261300
DSOL.IDX,06-Apr-2021,420.72,425.93,418.16,418.5,47221200
DSOQ.IDX,06-Apr-2021,259.66,264.52,259.17,259.26,58043100
DSOS.IDX,06-Apr-2021,537.06,551.9,536.07,537.77,91472100
DSPB.IDX,06-Apr-2021,600.91,603.84,599.16,600.19,6470800
DSPC.IDX,06-Apr-2021,381.76,385.1,380.5,382.5,3147300
DSPG.IDX,06-Apr-2021,835.9,845.78,834.86,843.08,48148500
DSPL.IDX,06-Apr-2021,553.7,560.66,553.7,555.07,25781700
DSPM.IDX,06-Apr-2021,138.37,140.49,138.37,139.17,6720000
DSPN.IDX,06-Apr-2021,946.87,950.73,940.4,942.06,147313500
DSPR.IDX,06-Apr-2021,660.2,661.44,653.93,654.75,71751600
DSRA.IDX,06-Apr-2021,1198.36,1215.81,1196.98,1206.41,23229900
DSRB.IDX,06-Apr-2021,3294.83,3317.14,3293.09,3298.63,17855200
DSRD.IDX,06-Apr-2021,910.63,916.54,899.88,901.61,6865700
DSRE.IDX,06-Apr-2021,366.42,368.16,365.31,368.15,145578200
DSRH.IDX,06-Apr-2021,649.16,651.94,645.76,649.51,2505700
DSRI.IDX,06-Apr-2021,149.19,149.94,148.74,149.93,143072400
DSRL.IDX,06-Apr-2021,85.88,86.97,85.88,86.74,14133800
DSRN.IDX,06-Apr-2021,236.66,238.46,236.36,238.43,21763300
DSRP.IDX,06-Apr-2021,611.01,617.87,610.09,610.78,2072400
DSRQ.IDX,06-Apr-2021,111.13,114.6,110.53,113.35,75436200
DSRR.IDX,06-Apr-2021,3290.44,3299.63,3249.72,3251.74,7038200
DSRS.IDX,06-Apr-2021,2682.89,2709.53,2681.02,2692.91,26873500
DSRT.IDX,06-Apr-2021,2071.96,2086.89,2071.89,2076.84,114292700
DSRU.IDX,06-Apr-2021,2367.05,2408.34,2365.47,2399.98,21100100
DSSB.IDX,06-Apr-2021,1709.05,1716.34,1701.12,1706.12,26716100
DSSC.IDX,06-Apr-2021,7179.3,7222.98,7073.52,7134.01,162337900
DSSD.IDX,06-Apr-2021,789.46,797.7,788.74,793.77,31083000
DSSF.IDX,06-Apr-2021,476.75,480.53,474,479.68,32797500
DSSP.IDX,06-Apr-2021,452.66,454.51,451.05,452.15,6407500
DSSR.IDX,06-Apr-2021,257.54,258.28,255.99,258.27,48218200
DSST.IDX,06-Apr-2021,320.63,323.71,316.92,319.01,5944200
DSSV.IDX,06-Apr-2021,4510.3,4542.28,4496.43,4516.47,298085300
DSSW.IDX,06-Apr-2021,4665.71,4711.33,4645.25,4680.98,196544000
DSTB.IDX,06-Apr-2021,697.13,703.05,694.21,699.24,10703900
DSTC.IDX,06-Apr-2021,3771.08,3791.8,3758.87,3767.51,619498200
DSTK.IDX,06-Apr-2021,1324,1332.07,1315.9,1316.52,3946500
DSTL.IDX,06-Apr-2021,177.9,179.01,177.65,179.01,50815900
DSTP.IDX,06-Apr-2021,1006.36,1010.26,1005.33,1007.08,0
DSTQ.IDX,06-Apr-2021,3434.77,3449.04,3402.16,3420.59,321412900
DSTS.IDX,06-Apr-2021,304.02,309.56,302.35,303.08,2654400
DSTT.IDX,06-Apr-2021,936.18,951.38,935.85,940.37,26678000
DSTY.IDX,06-Apr-2021,1400.57,1420.63,1398.38,1411.51,40051100
DSUO.IDX,06-Apr-2021,321.38,323.49,319.74,323.31,17923100
DSUT.IDX,06-Apr-2021,320.39,322.95,318.92,322.86,89411200
DSVE.IDX,06-Apr-2021,306.09,308.71,304.75,308.65,71488100
DSVN.IDX,06-Apr-2021,510.68,522.84,510.68,521.26,1848900
DSWC.IDX,06-Apr-2021,419.78,421.72,418.66,421.68,17209800
DSWU.IDX,06-Apr-2021,3165.13,3189.55,3145.04,3182.94,1359500
DTCI.IDX,06-Apr-2021,1918.77,1928.6,1914.7,1928.48,0
DTEI.IDX,06-Apr-2021,2324.32,2332.21,2314.06,2332.05,0
DTFD.IDX,06-Apr-2021,95,100,75,75,0
DTFI.IDX,06-Apr-2021,95,95,90,95,0
DTFX.IDX,06-Apr-2021,128.14,128.52,127.79,128.49,0
DTOF.IDX,06-Apr-2021,100,100,100,100,0
DTOH.IDX,06-Apr-2021,100,100,100,100,0
DTTH.IDX,06-Apr-2021,100,100,100,100,0
DTTW.IDX,06-Apr-2021,90,90,90,90,0
DTWC.IDX,06-Apr-2021,26327.14,26362.38,26242.4,26273.15,0
DTWI.IDX,06-Apr-2021,77931.73,77971.86,77592.35,77706.38,0
DTWT.IDX,06-Apr-2021,24452.42,24575.21,24349.31,24373.17,0
DTWU.IDX,06-Apr-2021,4087.93,4105.98,4056.03,4105,0
DUBS.IDX,06-Apr-2021,83.45,84.33,83.26,83.6,0
DUFD.IDX,06-Apr-2021,100,100,86.66,100,0
DUFI.IDX,06-Apr-2021,93.33,100,93.33,100,0
DUOF.IDX,06-Apr-2021,80,100,80,100,0
DUOH.IDX,06-Apr-2021,93.33,93.33,93.33,93.33,0
DUSL.IDX,06-Apr-2021,888.26,891.08,886.58,887.88,0
DUSM.IDX,06-Apr-2021,1495.15,1506,1494.4,1502.63,0
DUSS.IDX,06-Apr-2021,1468.92,1481.16,1468.8,1475.07,0
DUTH.IDX,06-Apr-2021,93.33,93.33,93.33,93.33,0
DUTW.IDX,06-Apr-2021,93.33,100,93.33,100,0
DVCA.IDX,06-Apr-2021,22.04,107.61,22.04,107.61,0
DVCC.IDX,06-Apr-2021,2.55,79.1,2.55,70.35,0
DVCE.IDX,06-Apr-2021,23.08,586.73,23.08,586.26,0
DVCN.IDX,06-Apr-2021,52.91,1458.51,52.91,1402.82,0
DVCQ.IDX,06-Apr-2021,121.26,1830.83,121.26,1723.35,0
DVCS.IDX,06-Apr-2021,1.4,140.43,1.4,140.16,0
DVCT.IDX,06-Apr-2021,196.21,3396.67,196.21,3233.79,0
DVCU.IDX,06-Apr-2021,1066.85,17893.84,1066.85,14406.95,0
DVCV.IDX,06-Apr-2021,1.02,89.24,1.02,83.25,0
DVCX.IDX,06-Apr-2021,4.99,300.05,4.99,293.76,0
DWCB.IDX,06-Apr-2021,6433.02,6479.6,6394.36,6434.57,0
ESFD.IDX,06-Apr-2021,82.53,88.69,75.68,78.42,0
ESFI.IDX,06-Apr-2021,89.38,92.12,89.04,89.72,0
ESOF.IDX,06-Apr-2021,90.06,91.78,89.72,90.75,0
ESOH.IDX,06-Apr-2021,93.83,94.86,93.15,94.17,0
ESTH.IDX,06-Apr-2021,94.86,95.2,94.52,95.2,0
ESTW.IDX,06-Apr-2021,83.56,84.93,80.82,81.5,0
FBV.IDX,06-Apr-2021,25.12,25.13,25.06,25.07,0
GLD.IDX,06-Apr-2021,1728.18,1744.7,1727.07,1743.05,105662
GMI.IDX,06-Apr-2021,33.8,34.5,33.8,34.24,0
GNX.IDX,06-Apr-2021,464.33,475.08,464.33,468.57,0
HGX.IDX,06-Apr-2021,479.58,483.99,477.94,482.29,0
HIGA.IDX,06-Apr-2021,4,4,4,4,0
HIGC.IDX,06-Apr-2021,3,3,3,3,0
HIGD.IDX,06-Apr-2021,0.01,0.01,0.01,0.01,0
HIGE.IDX,06-Apr-2021,347,347,347,347,0
HIGN.IDX,06-Apr-2021,161,161,161,161,0
HIGQ.IDX,06-Apr-2021,107,107,107,107,0
HIGS.IDX,06-Apr-2021,55,55,55,55,0
HIGU.IDX,06-Apr-2021,305,305,305,305,0
HIGV.IDX,06-Apr-2021,8,8,8,8,0
HUI.IDX,06-Apr-2021,277.52,284.38,277.52,281.48,0
HVX.IDX,06-Apr-2021,134.97,135.83,134.77,134.86,0
IDX.IDX,06-Apr-2021,2663.77,2685.43,2663.11,2666.66,397857000
INDS.IDX,06-Apr-2021,10724.95,10815.17,10724.61,10771.13,0
INSR.IDX,06-Apr-2021,10811.84,10897.74,10811.84,10886.5,0
IQX.IDX,06-Apr-2021,5870.73,5892.07,5862.01,5874.69,0
